"doc_title","word","tfidf"
"text10","support",4.58637849025649
"text10","mortgage",4.42303290648965
"text10","disposal",4.24279136141445
"text10","purely",4.08518350805278
"text10","promotion",4.08518350805278
"text10","impediments",4.08518350805278
"text10","commerce",3.71273153923823
"text10","advantages",3.66910279220519
"text10","creditors",3.31378915840787
"text10","thereto",3.18209352106083
"text10","ministering",2.72345567203519
"text10","instrumental",2.72345567203519
"text10","painful",2.65381974389379
